Energy Load,Max Demand,Stored Energy,Genereted Energy,Power exchange,Data,Influent Flow,Water Flow,Total Volume,Hydroelectric Gen.,Hydroelectric Gen. SE/CO,TmedGeneral,relative humidityGeneral,VelwindmedGeneral,WeekDay,Month
1264.809409,64289.71,159596.718,1288.19190908,-28.612759999999998,2008-06-19,737.1936641221378,769.8870588235296,73.74457627118647,1168.08336,775.67421,16.87111111111111,63.52777777777778,0.8465837777777778,3,6
1263.467922,63906.73,159251.92200000002,1300.68556904,-31.46771,2008-06-20,751.187923076923,786.0638983050846,75.89070175438597,1186.31313,792.79862,17.757777777777775,60.97222222222222,1.274074,4,6
1276.738776,63409.28,158934.885,1211.78894905,-29.86943,2008-06-21,738.5423076923079,772.7995762711862,75.780701754386,1112.08914,742.41135,17.04222222222222,62.55555555555556,1.4333734444444444,5,6
1186.595892,56991.04,158837.7285,1069.88550905,-27.61356,2008-06-22,663.5241538461537,690.6433898305085,75.74894736842107,960.81393,641.5321,15.931111111111111,64.94444444444444,1.0592592222222221,6,6
1043.934261,62327.94,158371.6695,1248.94988903,-24.038429999999998,2008-06-23,698.2994615384616,730.9785593220339,75.32894736842107,1123.29332,735.59989,15.499999999999996,68.41666666666667,1.162468111111111,0,6
1219.997672,62761.56,158166.39899999998,1267.66503897,-24.873300000000004,2008-06-24,711.4088461538461,742.1589830508476,75.17824561403509,1133.42567,755.37463,16.08888888888889,68.86111111111111,0.9777776666666669,1,6
1240.680769,63937.23,157930.4475,1286.27610896,-29.217670000000002,2008-06-25,723.9709230769231,755.9515254237291,73.46913793103448,1139.06191,756.93913,16.16222222222222,65.69444444444444,1.4137850000000003,2,6
1257.972665,63934.05,157609.0275,1289.73844901,-35.48046,2008-06-26,727.306183206107,758.9968907563023,71.90067796610168,1137.1242,750.07544,16.282222222222224,67.80555555555556,1.6714799999999999,3,6
1260.941344,63161.81,157388.4165,1280.61875906,9.078420000000001,2008-06-27,722.5319083969468,747.4700840336138,71.94322033898305,1133.30696,731.68925,17.05111111111111,65.19444444444444,1.466211777777778,4,6
1253.435068,62849.63,157284.6855,1178.65823906,-9.325389999999999,2008-06-28,725.1614615384617,743.95406779661,75.72824561403506,1041.08036,682.83659,17.333333333333332,65.72222222222223,1.4450193333333334,5,6
1163.484411,57610.09,157437.36,1055.67586909,-34.781639999999996,2008-06-29,671.2269999999999,677.6947457627118,76.43631578947368,908.00531,608.16455,17.380000000000003,61.333333333333336,1.0,6,6
1039.84472,63301.16,157229.16749999998,1248.43988901,-17.012919999999998,2008-06-30,695.7212213740459,710.360588235294,73.964406779661,1099.46648,708.01124,17.39111111111111,62.25,0.9444445555555555,0,6
1225.490193,63707.29,156992.4855,1275.41253905,-66.80399,2008-07-01,750.3857692307691,784.1907627118644,52.07362068965519,1124.00287,718.05164,17.486666666666668,58.69444444444444,1.2148147777777778,1,7
1251.773979,64021.56,156831.04499999998,1278.78236903,-79.28837,2008-07-02,953.3363076923074,963.3645762711859,63.160689655172426,1124.78565,715.01695,17.204444444444444,64.47222222222223,0.8566253333333332,2,7
1257.763394,63831.51,156592.1715,1289.46135904,-66.22976,2008-07-03,945.3807692307693,965.024661016949,64.45438596491228,1129.15487,710.24207,17.455555555555556,63.333333333333336,1.1529215555555556,3,7
1265.539704,63760.14,156320.4255,1274.14275908,-68.92234,2008-07-04,1128.0366153846155,1137.175677966102,70.54086206896551,1122.86503,699.76275,16.52888888888889,62.55555555555556,1.0624682222222224,4,7
1255.567076,62227.77,156125.38199999998,1151.88278912,-98.0426,2008-07-05,924.5521374045805,951.13974789916,79.88157894736841,1008.40291,610.72249,16.61111111111111,62.19444444444444,1.2000001111111112,5,7
1148.94115,57537.6,155996.814,1029.58339918,-51.918670000000006,2008-07-06,744.8974809160305,772.6230252100842,75.05457627118645,885.65885,570.52015,17.404444444444444,59.52777777777778,1.1751437777777776,6,7
1029.528749,62971.84,155575.3155,1225.75608917,-79.03156,2008-07-07,612.2930000000002,635.5596610169495,77.05403508771931,1084.3814,685.26441,17.335555555555555,57.416666666666664,1.2925925555555553,0,7
1219.895992,63669.55,154928.0925,1247.97553911,-85.22299000000001,2008-07-08,697.4210769230771,735.3060169491525,67.90052631578948,1113.76432,706.40277,17.06222222222222,56.888888888888886,1.5725097777777775,1,7
1247.852367,63245.46,154609.5945,1191.4884992,-105.94814,2008-07-09,589.6070229007631,614.5519327731092,61.81050847457626,1054.61632,654.3577,16.735555555555557,59.666666666666664,1.460328888888889,2,7
1211.430257,64039.6,154198.323,1222.19482905,-110.64287999999999,2008-07-10,736.5938167938933,757.2364705882352,58.92508474576272,1094.22235,689.50073,17.064444444444447,62.47222222222222,1.5962963333333333,3,7
1245.127788,63458.91,153643.8735,1219.48482907,-103.16372999999999,2008-07-11,866.9106153846153,880.5605042016809,59.81258620689657,1096.06876,682.68067,17.166666666666668,60.72222222222222,1.4386415555555554,4,7
1251.156754,62766.73,153299.07749999998,1137.17976899,-87.19332,2008-07-12,634.0895454545454,631.8142975206612,55.73661016949153,1015.29302,657.87467,16.90666666666667,59.22222222222222,1.737037,5,7
1157.778947,57530.98,152965.9695,1002.56681909,-48.66761,2008-07-13,570.9393076923076,596.4833898305087,73.99775862068964,884.81216,594.21314,17.275555555555556,56.72222222222222,1.260328888888889,6,7
1028.643618,63737.98,152477.265,1191.43859909,-80.15078,2008-07-14,608.8785496183208,638.7345378151261,72.21372881355931,1079.42459,692.29608,16.95555555555556,55.94444444444444,1.071439888888889,0,7
1210.734074,64607.72,151853.418,1217.91451915,-83.52138,2008-07-15,615.9908396946561,641.675294117647,71.46949152542372,1099.47281,711.74455,16.395555555555557,56.02777777777778,1.1111111111111112,1,7
1242.510174,64444.78,151472.8275,1204.20974904,-84.58113,2008-07-16,622.8009160305345,649.2138655462187,71.30118644067795,1073.89239,703.02324,16.25111111111111,60.361111111111114,1.5084771111111113,2,7
1243.823594,64471.93,151025.76150000002,1207.69087898,-104.07866,2008-07-17,622.0702290076337,648.8636134453782,71.2071186440678,1073.09439,701.38524,17.17111111111111,51.77777777777778,1.239176222222222,3,7
1248.410201,64469.74,150482.2695,1216.16068909,-114.29454,2008-07-18,627.6901526717553,654.3598319327725,70.68372881355931,1081.94138,697.12081,18.00222222222222,53.27777777777778,1.1296295555555556,4,7
1258.155465,63058.43,150027.168,1116.22426913,-60.84955,2008-07-19,597.6253846153842,621.2817796610169,72.57157894736844,981.9064,646.04008,17.857777777777773,54.30555555555556,0.7851852222222222,5,7
1161.98902,57733.78,149689.677,1013.93880909,-31.196839999999995,2008-07-20,551.0360305343513,571.3385714285716,69.62406779661016,879.008,608.2482,17.89111111111111,54.52777777777778,1.1814814444444446,6,7
1035.293774,64175.42,149162.9865,1229.07655901,-75.42845,2008-07-21,603.2400763358778,631.6944537815123,68.95203389830507,1099.61663,713.57959,17.77111111111111,53.47222222222222,1.348148111111111,0,7
1233.65448,64863.14,148490.9265,1282.36007903,-63.46221,2008-07-22,649.5724615384615,678.3738983050847,70.97438596491226,1157.70968,763.12641,18.18,52.416666666666664,1.5333333333333334,1,7
1272.413946,64921.87,147873.65399999998,1286.01018896,-64.20891,2008-07-23,679.0638461538463,708.820593220339,70.53842105263159,1167.93418,759.404,17.700000000000003,57.30555555555556,1.4613984444444441,2,7
1274.73711,64321.17,147279.027,1285.2196292,-54.10467,2008-07-24,696.059923076923,728.7283898305087,70.32491228070177,1151.0352,758.796,17.788888888888884,54.75,1.5418102222222223,3,7
1273.62859,64165.33,146632.5345,1280.16122913,-56.99387,2008-07-25,679.10893129771,710.6195798319328,67.8327118644068,1145.7657,758.00348,16.78666666666667,57.19444444444444,1.3740741111111112,4,7
1271.081156,63163.79,146177.43300000002,1179.43541909,-46.24393,2008-07-26,651.7335384615387,681.9339830508474,69.97263157894736,1043.53889,701.23093,16.44888888888889,55.5,1.6788474444444443,5,7
1169.701134,57897.32,145770.5445,1050.0962791,3.535730000000001,2008-07-27,608.1027692307691,637.340508474576,69.63280701754385,907.0508,639.47182,17.45555555555556,54.30555555555556,1.6666666666666667,6,7
